Id,MSSubClass,MSZoning.FV,MSZoning.RH,MSZoning.RL,MSZoning.RM,LotFrontage,LotArea,Street.Pave,LotShape.IR2,LotShape.IR3,LotShape.Reg,LandContour.HLS,LandContour.Low,LandContour.Lvl,Utilities.NoSeWa,LotConfig.CulDSac,LotConfig.FR2,LotConfig.FR3,LotConfig.Inside,LandSlope.Mod,LandSlope.Sev,Neighborhood.Blueste,Neighborhood.BrDale,Neighborhood.BrkSide,Neighborhood.ClearCr,Neighborhood.CollgCr,Neighborhood.Crawfor,Neighborhood.Edwards,Neighborhood.Gilbert,Neighborhood.IDOTRR,Neighborhood.MeadowV,Neighborhood.Mitchel,Neighborhood.NAmes,Neighborhood.NoRidge,Neighborhood.NPkVill,Neighborhood.NridgHt,Neighborhood.NWAmes,Neighborhood.OldTown,Neighborhood.Sawyer,Neighborhood.SawyerW,Neighborhood.Somerst,Neighborhood.StoneBr,Neighborhood.SWISU,Neighborhood.Timber,Neighborhood.Veenker,Condition1.Feedr,Condition1.Norm,Condition1.PosA,Condition1.PosN,Condition1.RRAe,Condition1.RRAn,Condition1.RRNe,Condition1.RRNn,Condition2.Feedr,Condition2.Norm,Condition2.PosA,Condition2.PosN,Condition2.RRAe,Condition2.RRAn,Condition2.RRNn,BldgType.2fmCon,BldgType.Duplex,BldgType.Twnhs,BldgType.TwnhsE,HouseStyle.1.5Unf,HouseStyle.1Story,HouseStyle.2.5Fin,HouseStyle.2.5Unf,HouseStyle.2Story,HouseStyle.SFoyer,HouseStyle.SLvl,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle.Gable,RoofStyle.Gambrel,RoofStyle.Hip,RoofStyle.Mansard,RoofStyle.Shed,RoofMatl.CompShg,RoofMatl.Membran,RoofMatl.Metal,RoofMatl.Roll,RoofMatl.Tar.Grv,RoofMatl.WdShake,RoofMatl.WdShngl,Exterior1st.AsphShn,Exterior1st.BrkComm,Exterior1st.BrkFace,Exterior1st.CBlock,Exterior1st.CemntBd,Exterior1st.HdBoard,Exterior1st.ImStucc,Exterior1st.MetalSd,Exterior1st.Plywood,Exterior1st.Stone,Exterior1st.Stucco,Exterior1st.VinylSd,Exterior1st.Wd.Sdng,Exterior1st.WdShing,Exterior2nd.AsphShn,Exterior2nd.Brk.Cmn,Exterior2nd.BrkFace,Exterior2nd.CBlock,Exterior2nd.CmentBd,Exterior2nd.HdBoard,Exterior2nd.ImStucc,Exterior2nd.MetalSd,Exterior2nd.Other,Exterior2nd.Plywood,Exterior2nd.Stone,Exterior2nd.Stucco,Exterior2nd.VinylSd,Exterior2nd.Wd.Sdng,Exterior2nd.Wd.Shng,MasVnrArea,ExterQual,ExterCond,Foundation.CBlock,Foundation.PConc,Foundation.Slab,Foundation.Stone,Foundation.Wood,BsmtQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating.GasA,Heating.GasW,Heating.Grav,Heating.OthW,Heating.Wall,HeatingQC.Fa,HeatingQC.Gd,HeatingQC.Po,HeatingQC.TA,CentralAir.Y,Electrical.FuseF,Electrical.FuseP,Electrical.Mix,Electrical.SBrkr,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual.Fa,KitchenQual.Gd,KitchenQual.TA,TotRmsAbvGrd,Functional.Maj2,Functional.Min1,Functional.Min2,Functional.Mod,Functional.Sev,Functional.Typ,Fireplaces,GarageArea,GarageQual,PavedDrive.P,PavedDrive.Y,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType.Con,SaleType.ConLD,SaleType.ConLI,SaleType.ConLw,SaleType.CWD,SaleType.New,SaleType.Oth,SaleType.WD,SaleCondition.AdjLand,SaleCondition.Alloca,SaleCondition.Family,SaleCondition.Normal,SaleCondition.Partial,SalePrice
11,20,0,0,1,0,70,11200,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,1965,1965,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,906,0,134,1040,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1040,0,0,1040,1,0,1,0,3,1,0,0,1,5,0,0,0,0,0,1,0,384,9,0,1,0,0,0,0,0,0,0,2,2008,0,0,0,0,0,0,0,1,0,0,0,1,0,129500
12,60,0,0,1,0,85,11924,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,5,2005,2006,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,286,5,3,0,1,0,0,0,0,998,0,177,1175,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1182,1142,0,2324,1,0,3,0,4,1,0,0,0,11,0,0,0,0,0,1,2,736,9,0,1,147,21,0,0,0,0,0,7,2006,0,0,0,0,0,1,0,0,0,0,0,0,1,345000
13,20,0,0,1,0,0,12968,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,6,1962,1962,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,737,0,175,912,1,0,0,0,0,0,0,0,1,1,0,0,0,1,912,0,0,912,1,0,1,0,2,1,0,0,1,4,0,0,0,0,0,1,0,352,9,0,1,140,0,0,0,176,0,0,9,2008,0,0,0,0,0,0,0,1,0,0,0,1,0,144000
14,20,0,0,1,0,91,10652,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,2006,2007,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,306,4,3,0,1,0,0,0,24,0,0,1494,1494,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1494,0,0,1494,0,0,2,0,3,1,0,1,0,7,0,0,0,0,0,1,1,840,9,0,1,160,33,0,0,0,0,0,8,2007,0,0,0,0,0,1,0,0,0,0,0,0,1,279500
15,20,0,0,1,0,0,10920,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,1960,1960,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,212,3,3,1,0,0,0,0,0,733,0,520,1253,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1253,0,0,1253,1,0,1,1,2,1,0,0,1,5,0,0,0,0,0,1,1,352,9,0,1,0,213,176,0,0,0,0,5,2008,0,0,0,0,0,0,0,1,0,0,0,1,0,157000
16,45,0,0,0,1,51,6120,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,8,1929,2001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,832,832,1,0,0,0,0,0,0,0,0,1,0,0,0,0,854,0,0,854,0,0,1,0,2,1,0,0,1,5,0,0,0,0,0,1,0,576,9,0,1,48,112,0,0,0,0,0,7,2007,0,0,0,0,0,0,0,1,0,0,0,1,0,132000
17,20,0,0,1,0,0,11241,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,7,1970,1970,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180,3,3,1,0,0,0,0,0,578,0,426,1004,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1004,0,0,1004,1,0,1,0,2,1,0,0,1,5,0,0,0,0,0,1,1,480,9,0,1,0,0,0,0,0,0,700,3,2010,0,0,0,0,0,0,0,1,0,0,0,1,0,149000
18,90,0,0,1,0,72,10791,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,5,1967,1967,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1296,0,0,1296,0,0,2,0,2,2,0,0,1,6,0,0,0,0,0,1,0,516,9,0,1,0,0,0,0,0,0,500,10,2006,0,0,0,0,0,0,0,1,0,0,0,1,0,90000
19,20,0,0,1,0,66,13695,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,2004,2004,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,1,0,0,0,0,646,0,468,1114,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1114,0,0,1114,1,0,1,1,3,1,0,1,0,6,0,0,0,0,0,1,0,576,9,0,1,0,102,0,0,0,0,0,6,2008,0,0,0,0,0,0,0,1,0,0,0,1,0,159000
20,20,0,0,1,0,70,7560,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,6,1958,1965,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,504,0,525,1029,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1339,0,0,1339,0,0,1,0,3,1,0,0,1,6,0,1,0,0,0,0,0,294,9,0,1,0,0,0,0,0,0,0,5,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,139000
21,60,0,0,1,0,101,14215,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,5,2005,2006,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,380,4,3,0,1,0,0,0,30,0,0,1158,1158,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1158,1218,0,2376,0,0,3,1,4,1,0,1,0,9,0,0,0,0,0,1,1,853,9,0,1,240,154,0,0,0,0,0,11,2006,0,0,0,0,0,1,0,0,0,0,0,0,1,325300
22,45,0,0,0,1,57,7449,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,1930,1950,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,1,0,0,0,0,0,0,637,637,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1108,0,0,1108,0,0,1,0,3,1,0,1,0,6,0,0,0,0,0,1,1,280,9,0,0,0,0,205,0,0,0,0,6,2007,0,0,0,0,0,0,0,1,0,0,0,1,0,139400
23,20,0,0,1,0,75,9742,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,5,2002,2002,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,281,4,3,0,1,0,0,0,0,0,0,1777,1777,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1795,0,0,1795,0,0,2,0,3,1,0,1,0,7,0,0,0,0,0,1,1,534,9,0,1,171,159,0,0,0,0,0,9,2008,0,0,0,0,0,0,0,1,0,0,0,1,0,230000
24,120,0,0,0,1,44,4224,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,7,1976,1976,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,840,0,200,1040,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1060,0,0,1060,1,0,1,0,3,1,0,0,1,6,0,0,0,0,0,1,1,572,9,0,1,100,110,0,0,0,0,0,6,2007,0,0,0,0,0,0,0,1,0,0,0,1,0,129900
25,20,0,0,1,0,0,8246,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,8,1968,2001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,1,0,0,0,0,135,188,668,204,1060,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1060,0,0,1060,1,0,1,0,3,1,0,1,0,6,0,0,0,0,0,1,1,270,9,0,1,406,90,0,0,0,0,0,5,2010,0,0,0,0,0,0,0,1,0,0,0,1,0,154000
